station,moment,longitude,latitude,altitude
03006,1989-08-14 00:00:00.000000,46.8211,-71.2208,170
03021,2005-01-07 00:00:00.000000,46.77416667,-71.36972222,180
03028,2000-09-06 00:00:00.000000,46.79472222,-71.24638889,160
